t,o,h,l,c,v,oi,series,data_source
2024-05-28 14:30:00,49270.0,49277.95,49254.75,49255.0,2925.0,1785015.0,I,
2024-05-28 14:33:00,49255.0,49262.9,49207.95,49250.0,9930.0,1784895.0,I,
2024-05-28 14:36:00,49250.0,49256.4,49220.0,49225.0,5445.0,1785540.0,I,
2024-05-28 14:39:00,49220.1,49257.7,49211.6,49242.35,6090.0,1785990.0,I,
2024-05-28 14:42:00,49242.35,49272.35,49241.0,49241.0,4245.0,1786770.0,I,
2024-05-28 14:45:00,49241.0,49254.65,49192.65,49205.0,11835.0,1787340.0,I,
2024-05-28 14:48:00,49211.7,49250.15,49205.65,49235.1,8520.0,1775340.0,I,
2024-05-28 14:51:00,49236.1,49242.2,49206.15,49210.7,5085.0,1774875.0,I,
2024-05-28 14:54:00,49211.65,49267.9,49210.0,49245.8,9060.0,1774515.0,I,
2024-05-28 14:57:00,49250.05,49259.55,49182.3,49182.3,8895.0,1772295.0,I,
2024-05-28 15:00:00,49193.2,49220.0,49159.5,49189.9,23625.0,1776720.0,I,
2024-05-28 15:03:00,49188.65,49243.4,49185.0,49221.8,19605.0,1780860.0,I,
2024-05-28 15:06:00,49223.0,49225.4,49202.6,49210.35,34425.0,1796625.0,I,
2024-05-28 15:09:00,49211.65,49216.5,49176.0,49190.25,75075.0,1841790.0,I,
2024-05-28 15:12:00,49193.15,49200.65,49181.95,49190.0,71070.0,1909860.0,I,
2024-05-28 15:15:00,49195.3,49209.95,49188.95,49201.15,49950.0,1962135.0,I,
2024-05-28 15:18:00,49193.1,49208.55,49176.1,49182.2,52380.0,1988595.0,I,
2024-05-28 15:21:00,49181.4,49181.4,49140.0,49151.65,24330.0,1988265.0,I,
2024-05-28 15:24:00,49150.0,49151.35,49125.0,49129.2,24255.0,1988235.0,I,
2024-05-28 15:27:00,49125.0,49131.35,49118.0,49131.35,60645.0,1983405.0,I,
2024-05-28 15:30:00,49131.65,49131.65,49131.65,49131.65,450.0,1983405.0,I,
2024-05-29 09:15:00,49344.85,49411.25,49255.15,49273.7,70485.0,1373415.0,II,
2024-05-29 09:18:00,49278.35,49315.0,49275.0,49300.0,42765.0,1386225.0,II,
2024-05-29 09:21:00,49300.0,49341.0,49284.35,49299.15,33300.0,1401495.0,II,
